id,name,country,quality_of_life_index,purchasing_power_index,safety_index,health_care_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_time_index,pollution_index,climate_index
0,Kabul,Afghanistan,NULL,21.12,21.47,29.06,23.82,14.82,56.17,92.0,NULL
1,Tirana,Albania,90.91,31.24,56.95,48.69,38.10,16.02,39.93,87.82,86.43
2,Algiers,Algeria,78.36,21.75,45.56,54.45,29.91,28.56,56.08,70.38,94.82
3,Constantine,Algeria,91.58,24.92,55.32,40.28,27.61,14.00,55.5,68.82,84.71
4,Jijel,Algeria,NULL,NULL,54.66,43.06,NULL,13.02,20.0,53.45,NULL
5,Oran,Algeria,68.73,21.01,45.78,55.32,28.43,22.22,105.0,58.87,96.35
6,Setif,Algeria,26.16,20.84,39.92,59.26,26.38,94.89,13.5,72.41,80.17
7,Skikda,Algeria,NULL,NULL,86.76,22.22,NULL,NULL,3.0,117.24,NULL
8,Tebessa,Algeria,NULL,NULL,48.53,43.52,NULL,6.67,25.0,22.41,82.86
9,Tiziouzou,Algeria,NULL,NULL,41.2,44.44,NULL,9.22,15.0,95.69,94.76
10,Tlemcen,Algeria,NULL,NULL,43.55,42.82,NULL,21.35,56.67,40.52,89.09
11,Luanda,Angola,52.09,24.50,32.8,38.31,62.70,16.60,56.33,97.55,79.91
12,Saint Johns,Antigua And Barbuda,154.56,62.33,52.53,62.14,76.13,6.92,19.33,24.41,56.94
13,Buenos Aires,Argentina,95.26,27.93,36.92,69.39,35.14,32.34,48.15,52.43,98.28
14,Cordoba,Argentina,NULL,NULL,39.84,70.13,NULL,7.93,33.0,72.3,99.95
15,Mendoza,Argentina,NULL,NULL,31.74,71.83,NULL,21.26,42.67,39.29,87.76
16,Salta,Argentina,NULL,NULL,49.02,91.67,NULL,9.99,20.0,52.5,94.43
17,San Juan,Argentina,126.38,67.23,30.98,63.45,69.68,5.54,37.46,50.83,71.25
18,Tucuman,Argentina,NULL,NULL,19.78,77.78,NULL,NULL,45.0,66.38,NULL
19,Yerevan,Armenia,120.32,30.04,77.9,56.37,33.34,16.78,32.19,57.19,63.42
20,Aruba,Aruba,NULL,NULL,79.12,47.22,NULL,NULL,7.0,13.79,59.66
21,Adelaide,Australia,204.75,103.84,70.82,80.75,75.78,4.37,24.18,18.17,94.96
22,Albury,Australia,NULL,NULL,45.95,80.56,NULL,NULL,11.5,11.18,90.27
23,Bathurst,Australia,NULL,NULL,52.81,97.22,NULL,NULL,11.0,22.01,89.58
24,Brisbane,Australia,190.13,102.54,65.43,82.09,78.33,6.25,39.88,22.66,98.07
25,Buderim,Australia,NULL,NULL,70.31,76.85,NULL,4.07,40.0,11.21,98.28
26,Bundaberg,Australia,NULL,NULL,62.26,91.67,NULL,NULL,40.0,41.7,96.85
27,Cairns,Australia,153.79,74.92,39.11,67.41,77.46,5.68,39.88,28.92,89.82
28,Canberra,Australia,207.21,104.16,77.56,82.17,76.15,5.19,23.91,13.37,82.72
29,Coffs Harbour,Australia,NULL,NULL,64.49,64.81,NULL,NULL,21.67,17.82,97.98
30,Darwin,Australia,161.46,110.76,41.54,56.53,80.82,16.16,24.65,24.08,79.19
31,Denver,Australia,169.22,135.09,54.99,69.41,75.49,3.88,36.24,43.92,56.28
32,Derby,Australia,187.90,124.48,55.66,75.69,70.59,5.72,33.86,29.83,88.79
33,Dubbo,Australia,NULL,NULL,40.08,75.0,NULL,NULL,8.0,22.59,NULL
34,Geraldton,Australia,NULL,NULL,30.64,63.89,NULL,4.36,12.0,24.71,96.15
35,Hobart,Australia,200.41,103.19,67.68,65.07,71.84,4.12,20.78,13.87,90.62
36,Hoppers Crossing,Australia,NULL,NULL,48.41,100.0,NULL,NULL,17.0,22.41,96.09
37,Ipswich,Australia,NULL,NULL,43.76,70.37,NULL,NULL,20.0,46.55,96.30
38,Launceston,Australia,NULL,NULL,57.12,61.81,NULL,5.71,13.33,43.33,87.08
39,Melbourne,Australia,178.17,103.50,56.07,76.37,75.90,8.13,40.51,25.91,94.30
40,Perth,Australia,190.71,113.08,58.09,77.79,77.15,5.45,35.62,23.4,95.71
41,Richmond,Australia,195.31,135.36,54.11,73.86,67.68,4.01,21.96,31.14,81.27
42,Rockhampton,Australia,NULL,NULL,29.64,72.22,NULL,NULL,29.67,20.57,94.43
43,Sydney,Australia,179.81,103.49,66.46,78.62,82.41,10.28,43.55,27.5,97.07
44,Townsville,Australia,NULL,NULL,43.17,76.51,NULL,NULL,18.43,27.54,92.07
45,Dornbirn,Austria,NULL,NULL,92.31,68.06,NULL,9.98,40.0,10.34,NULL
46,Innsbruck,Austria,168.64,66.54,76.32,75.62,76.60,15.08,25.89,23.33,74.57
47,Klagenfurt,Austria,160.11,65.96,56.55,53.47,76.86,9.76,9.0,28.16,74.35
48,Vienna,Austria,181.37,78.04,73.57,78.83,67.09,13.89,26.37,17.44,81.77
49,Villach,Austria,180.39,69.95,71.98,73.53,76.23,7.63,17.39,21.54,75.94
50,Baku,Azerbaijan,103.94,27.95,69.01,44.26,31.49,17.39,37.63,75.84,91.40
51,Freeport,Bahamas,186.89,88.18,83.82,19.44,83.12,1.25,12.5,13.79,80.78
52,George Town,Bahamas,146.34,54.90,67.65,81.54,33.90,8.58,25.0,55.46,58.15
53,Nassau,Bahamas,114.58,46.61,35.62,42.48,86.12,4.36,28.5,60.46,85.98
54,Manama,Bahrain,144.50,62.56,78.59,66.42,54.09,6.21,30.75,61.24,64.31
55,Dhaka,Bangladesh,54.00,23.07,34.92,40.02,35.56,17.43,58.52,93.33,71.29
56,Khulna,Bangladesh,NULL,NULL,48.02,80.56,NULL,NULL,22.5,51.07,NULL
57,Bridgetown,Barbados,NULL,38.50,59.54,66.11,87.60,NULL,36.67,20.69,71.34
58,Christchurch,Barbados,188.43,89.23,60.12,79.94,75.34,4.76,22.43,23.08,88.79
59,Brest,Belarus,98.45,34.50,39.52,26.94,27.69,10.11,28.33,65.34,74.17
60,Brest,Belarus,NULL,NULL,46.1,87.4,NULL,NULL,35.0,28.07,93.14
61,Minsk,Belarus,107.46,31.53,39.65,46.23,32.96,18.82,30.22,41.56,64.37
