id,name,city,country,email,rank,city_id
0,Kent State University College of Aeronautics and Engineering,Kent,USA,kent.state.university@findmymasters.com,NULL,NULL
1,Manderson Graduate School of Business The University of Alabama,Tuscaloosa,USA,manderson.graduate.school@findmymasters.com,NULL,NULL
2,University of Argentinian Social Studies,,Argentina,university.of.argentinian@findmymasters.com,NULL,NULL
3,EM Normandie Business School,Le Havre,France,em.normandie.business@findmymasters.com,NULL,NULL
4,Izmir University of Economics,Izmir,Turkey,izmir.university.of@findmymasters.com,NULL,810
5,IMF Smart Education,Madrid,Spain,imf.smart.education@findmymasters.com,NULL,742
6,Ural Federal University,Yekaterinburg,Russia,ural.federal.university@findmymasters.com,NULL,682
7,Universitatea Nicolae Titulescu din Bucuresti,Bucharest,Romania,universitatea.nicolae.titulescu@findmymasters.com,NULL,632
8,University of WisconsinMadison La Follette School of Public Affairs,Madison,USA,university.of.wisconsinmadison@findmymasters.com,NULL,NULL
9,Northeastern University Global Pathways,Boston,USA,northeastern.university.global@findmymasters.com,NULL,NULL
10,University of Haifa International School,Haifa,Israel,university.of.haifa@findmymasters.com,701-750,382
11,The Hong Kong Polytechnic University Department of Industrial and Systems Engineering,Hong Kong,Hong Kong,the.hong.kong@findmymasters.com,NULL,282
12,Finis Terrae University,Providencia,Chile,finis.terrae.university@findmymasters.com,NULL,NULL
13,ALBA Graduate Business School,Athens,Greece,alba.graduate.business@findmymasters.com,NULL,261
14,University of Bath School of Management,Bath,United Kingdom,university.of.bath@findmymasters.com,166,NULL
15,University of Groningen,Groningen,Netherlands,university.of.groningen@findmymasters.com,128,NULL
16,San Jose State University School of Information,San Jose,USA,san.jose.state@findmymasters.com,NULL,179
17,South University,Savannah,USA,south.university@findmymasters.com,NULL,NULL
18,Erasmus University Rotterdam Erasmus School of Social and Behavioural Sciences,Rotterdam,Netherlands,erasmus.university.rotterdam@findmymasters.com,NULL,547
19,London Graduate School of Management,London,United Kingdom,london.graduate.school@findmymasters.com,NULL,119
