id,name,language,mode,schedule,deadline,field,url,tution_currency,university_id,duration,tution_amount
0,Ms In Aviation Management And Logistics,English,ONLINE,FULLTIME,,ADMINISTRATION,,USD,0,24,42025
1,Ms In Aviation Management And Logistics,English,ONLINE,PARTTIME,,ADMINISTRATION,,USD,0,24,42025
2,Master Of Science In Operations Management,,CAMPUS,FULLTIME,,ADMINISTRATION,,,220,,
3,Masters Degree In Collective Labor Bargaining,Spanish (Argentina),CAMPUS,,,ADMINISTRATION,,,2,,
4,Ms Supply Chain Logistics And Innovations,French,CAMPUS,FULLTIME,,ADMINISTRATION,,EUR,3,15,12500
5,Master Of Logistics Management Without Thesis,English,CAMPUS,FULLTIME,,ADMINISTRATION,,USD,4,24,8500
6,Official Masters Degree In Human Resources Organization And Talent Management,Spanish,ONLINE,PARTTIME,,ADMINISTRATION,,EUR,5,24,7560
7,Master In International Human Resources Management,English,COMBINED,FULLTIME,,ADMINISTRATION,,RUB,144,24,222900
8,Master In International Human Resources Management,English,CAMPUS,FULLTIME,,ADMINISTRATION,,RUB,144,24,222900
9,Master In International Human Resources Management,English,ONLINE,FULLTIME,,ADMINISTRATION,,RUB,144,24,222900
10,Management Of Public Organizations And Services,Rumenian,CAMPUS,,,ADMINISTRATION,,,7,,
11,Master Of Public Affairs,English,CAMPUS,,,ADMINISTRATION,,,2315,,
12,Master Of Science In Human Resources Management,English,CAMPUS,,,ADMINISTRATION,,,9,,
13,Mpa In Public Management And Policy Studies,English,CAMPUS,FULLTIME,,ADMINISTRATION,,USD,10,,10690
14,Master Of Science In Knowledge And Technology Management,English,CAMPUS,FULLTIME,,ADMINISTRATION,,HKD,11,30,6200
15,Master Of Science In Knowledge And Technology Management,English,CAMPUS,PARTTIME,,ADMINISTRATION,,HKD,11,30,6200
16,Master Of Science In Knowledge And Technology Management,English,ONLINE,FULLTIME,,ADMINISTRATION,,HKD,11,30,6200
17,Master Of Science In Knowledge And Technology Management,English,ONLINE,PARTTIME,,ADMINISTRATION,,HKD,11,30,6200
