id,field_of_study,name,duration,url,language,mode,deadline,schedule,tution_amount,tution_currency,university_id
0,ADMINISTRATION,Ms In Aviation Management And Logistics,24.0,,English,ONLINE,,FULLTIME,42025.0,USD,0
1,ADMINISTRATION,Ms In Aviation Management And Logistics,24.0,,English,ONLINE,,PARTTIME,42025.0,USD,0
2,ADMINISTRATION,Master Of Science In Operations Management,,,,CAMPUS,,FULLTIME,,,220
3,ADMINISTRATION,Masters Degree In Collective Labor Bargaining,,,Spanish (Argentina),CAMPUS,,,,,2
4,ADMINISTRATION,Ms Supply Chain Logistics And Innovations,15.0,,French,CAMPUS,,FULLTIME,12500.0,EUR,3
5,ADMINISTRATION,Master Of Logistics Management Without Thesis,24.0,,English,CAMPUS,,FULLTIME,8500.0,USD,4
6,ADMINISTRATION,Official Masters Degree In Human Resources Organization And Talent Management,24.0,,Spanish,ONLINE,,PARTTIME,7560.0,EUR,5
7,ADMINISTRATION,Master In International Human Resources Management,24.0,,English,ONLINE_AND_CAMPUS COMBINED,,FULLTIME,222900.0,RUB,144
8,ADMINISTRATION,Master In International Human Resources Management,24.0,,English,CAMPUS,,FULLTIME,222900.0,RUB,144
9,ADMINISTRATION,Master In International Human Resources Management,24.0,,English,ONLINE,,FULLTIME,222900.0,RUB,144
10,ADMINISTRATION,Management Of Public Organizations And Services,,,Rumenian,CAMPUS,,,,,7
11,ADMINISTRATION,Master Of Public Affairs,,,English,CAMPUS,,,,,2315
12,ADMINISTRATION,Master Of Science In Human Resources Management,,,English,CAMPUS,,,,,9
13,ADMINISTRATION,Mpa In Public Management And Policy Studies,,,English,CAMPUS,,FULLTIME,10690.0,USD,10
14,ADMINISTRATION,Master Of Science In Knowledge And Technology Management,30.0,,English,CAMPUS,,FULLTIME,6200.0,HKD,11
15,ADMINISTRATION,Master Of Science In Knowledge And Technology Management,30.0,,English,CAMPUS,,PARTTIME,6200.0,HKD,11
16,ADMINISTRATION,Master Of Science In Knowledge And Technology Management,30.0,,English,ONLINE,,FULLTIME,6200.0,HKD,11
17,ADMINISTRATION,Master Of Science In Knowledge And Technology Management,30.0,,English,ONLINE,,PARTTIME,6200.0,HKD,11
18,ADMINISTRATION,Master In Direction And Management Of Human Capital,,,Spanish (Chile),CAMPUS,,,,,12
19,ADMINISTRATION,Msc In Strategic Hrm,18.0,,English,CAMPUS,,FULLTIME,12500.0,EUR,13
20,ADMINISTRATION,Msc In Strategic Hrm,18.0,,English,CAMPUS,,PARTTIME,12500.0,EUR,13
21,ADMINISTRATION,Msc In Human Resource Management And Consulting,,,English,CAMPUS,,FULLTIME,13000.0,GBP,14
22,ADMINISTRATION,Msc In Human Resource Management,,,English,CAMPUS,,FULLTIME,2168.0,EUR,46
23,ADMINISTRATION,Master Of Archives And Records Administration,84.0,,English,ONLINE,,,19908.0,USD,16
24,ADMINISTRATION,Master Of Public Administration Online,16.0,,English,ONLINE,,FULLTIME,,,500
25,ADMINISTRATION,Master In Urban Governance,,,English,CAMPUS,,FULLTIME,,,18
26,ADMINISTRATION,Master Of Human Resource Management,18.0,,,CAMPUS,,FULLTIME,6000.0,GBP,202
27,ADMINISTRATION,Master In International Human Resources Project Management,,,English,CAMPUS,,FULLTIME,6990.0,EUR,144
28,ADMINISTRATION,Msc International Business With Human Resource Management,,,English,CAMPUS,,FULLTIME,5150.0,GBP,21
29,ADMINISTRATION,Master Vocational Teaching Jobs,6.0,,,ONLINE,,FULLTIME,1995.0,EUR,22
30,ADMINISTRATION,Master Vocational Teaching Jobs,6.0,,,ONLINE,,PARTTIME,1995.0,EUR,22
31,ADMINISTRATION,Master Of Public Administration With A Concentration In Healthcare Management,30.0,,English,ONLINE,,FULLTIME,,,23
32,ADMINISTRATION,Master Of Science In Human Resource Management,,,English,CAMPUS,,,,,9
33,ADMINISTRATION,European Human Resource Management Master,24.0,,French,ONLINE,,FULLTIME,,,137
34,ADMINISTRATION,European Human Resource Management Master,24.0,,French,ONLINE,,PARTTIME,,,137
35,ADMINISTRATION,Master In Public Administration,,,Spanish (Mexican),CAMPUS,,,,,519
36,ADMINISTRATION,Mscpgdip International Human Resource Management,24.0,,English,CAMPUS,,FULLTIME,,,27
37,ADMINISTRATION,Mscpgdip International Human Resource Management,24.0,,English,CAMPUS,,PARTTIME,,,27
38,ADMINISTRATION,Masters Degree In Training Processes,24.0,,Spanish,ONLINE_AND_CAMPUS COMBINED,,FULLTIME,854.0,EUR,28
39,ADMINISTRATION,Masters Degree In Training Processes,24.0,,Spanish,ONLINE_AND_CAMPUS COMBINED,,PARTTIME,854.0,EUR,28
40,ADMINISTRATION,Masters Degree In Training Processes,24.0,,Spanish,CAMPUS,,FULLTIME,854.0,EUR,28
41,ADMINISTRATION,Masters Degree In Training Processes,24.0,,Spanish,CAMPUS,,PARTTIME,854.0,EUR,28
42,ADMINISTRATION,Masters Degree In Training Processes,24.0,,Spanish,ONLINE,,FULLTIME,854.0,EUR,28
43,ADMINISTRATION,Masters Degree In Training Processes,24.0,,Spanish,ONLINE,,PARTTIME,854.0,EUR,28
44,ADMINISTRATION,Masters Degree In Training Processes,24.0,,Gallegan,ONLINE_AND_CAMPUS COMBINED,,FULLTIME,854.0,EUR,28
45,ADMINISTRATION,Masters Degree In Training Processes,24.0,,Gallegan,ONLINE_AND_CAMPUS COMBINED,,PARTTIME,854.0,EUR,28
46,ADMINISTRATION,Masters Degree In Training Processes,24.0,,Gallegan,CAMPUS,,FULLTIME,854.0,EUR,28
47,ADMINISTRATION,Masters Degree In Training Processes,24.0,,Gallegan,CAMPUS,,PARTTIME,854.0,EUR,28
48,ADMINISTRATION,Masters Degree In Training Processes,24.0,,Gallegan,ONLINE,,FULLTIME,854.0,EUR,28
49,ADMINISTRATION,Masters Degree In Training Processes,24.0,,Gallegan,ONLINE,,PARTTIME,854.0,EUR,28
50,ADMINISTRATION,Msc In Human Resource Management,36.0,,English,CAMPUS,,FULLTIME,5500.0,GBP,46
51,ADMINISTRATION,Msc In Human Resource Management,36.0,,English,CAMPUS,,PARTTIME,5500.0,GBP,46
52,ADMINISTRATION,Master Of Traffic And Transport,,,Serbian,CAMPUS,,,,,30
53,ADMINISTRATION,Master Of Education In Administration,,,English,CAMPUS,,,,,31
54,ADMINISTRATION,Master Of Science In Human Resource Management,,,,CAMPUS,,,,,9
55,ADMINISTRATION,Msc In Managing People Knowledge And Change,,,English,CAMPUS,,FULLTIME,,,33
56,ADMINISTRATION,Master Of Science In Human Resource Development,24.0,,English,CAMPUS,,FULLTIME,47522.0,USD,34
57,ADMINISTRATION,Master Of Science In Human Resource Development,24.0,,English,ONLINE,,FULLTIME,47522.0,USD,34
58,ADMINISTRATION,Master In Global Sourcing And Logistics,,,Spanish,CAMPUS,,,,,35
59,ADMINISTRATION,Master Of Business Administration,,,English,CAMPUS,,,,,494
60,ADMINISTRATION,Master In Project And Operations Management,2.0,,Spanish,ONLINE,,FULLTIME,8130.0,USD,37
61,ADMINISTRATION,Master In Project And Operations Management,2.0,,Spanish,ONLINE,,PARTTIME,8130.0,USD,37
62,ADMINISTRATION,Master Of Public Administration,,,English,,,,,,519
63,ADMINISTRATION,Msc Project Management,,,English,CAMPUS,,FULLTIME,17000.0,EUR,192
64,ADMINISTRATION,Master In Logistics,24.0,,,CAMPUS,,FULLTIME,,,372
65,ADMINISTRATION,Master In Logistics,24.0,,,CAMPUS,,PARTTIME,,,372
66,ADMINISTRATION,European Master In Human Resources Management,36.0,,French,ONLINE,,FULLTIME,3739.0,EUR,41
67,ADMINISTRATION,European Master In Human Resources Management,36.0,,French,ONLINE,,PARTTIME,3739.0,EUR,41
68,ADMINISTRATION,Msc Behavioral Psychology And Organizational Psychology,,,German,ONLINE,,FULLTIME,11850.0,EUR,42
69,ADMINISTRATION,Msc Behavioral Psychology And Organizational Psychology,,,German,ONLINE,,PARTTIME,11850.0,EUR,42
