id,name,rank,city_id,image
0,Kent State University College Of Aeronautics And Engineering,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/97/97584_thumb.png"
1,Manderson Graduate School Of Business The University Of Alabama,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/91/91033_thumb.jpg"
2,University Of Argentinian Social Studies,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/155105_UMSA.jpeg"
3,Em Normandie Business School,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/97/97587_thumb.jpg"
4,Izmir University Of Economics,NULL,810.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/94/94722_thumb.png"
5,Imf Smart Education,NULL,742.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/16/162995_162888_AAFFIMFLOGOTAGLINERGB_IMGLOGOTAGLINE200C-VERTICAL.png"
6,Ural Federal University,NULL,682.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/12/128290_UrFU_logo.png"
7,Universitatea Nicolae Titulescu Din Bucuresti,NULL,632.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/157000_1519921290071.png"
8,University Of Wisconsinmadison La Follette School Of Public Affairs,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/151436_703.png"
9,Northeastern University Global Pathways,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/151819_Northeastern.png"
10,University Of Haifa International School,701,382.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/11/118403_logo.png"
11,The Hong Kong Polytechnic University Department Of Industrial And Systems Engineering,NULL,282.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/10/109289_main-11195.png"
