field,name,university,duration,url,language,city,country,mode,deadline,pace,tution_amount,tution_currency
Administration-Studies,M.S. in Aviation Management And Logistics,Kent State University - College of Aeronautics and Engineering,2 years,null,"[""English""]",Kent,USA,"[""Online""]",null,"[""Full-time"",""Part-time""]",42025,USD
Administration-Studies,Master of Science in Operations Management,Manderson Graduate School of Business The University of Alabama,null,null,[],Tuscaloosa,USA,"[""Campus""]",null,"[""Full-time""]",null,null
Administration-Studies,MASTER'S DEGREE IN COLLECTIVE LABOR BARGAINING,University of Argentinian Social Studies,null,null,"[""Spanish (Argentina)""]",545,Argentina,"[""Campus""]",null,[],null,null
Administration-Studies,"MS Supply Chain, Logistics and Innovations",EM Normandie Business School,15 months,null,"[""French""]",Le Havre,France,"[""Campus""]",null,"[""Full-time""]",12500,EUR
Administration-Studies,Master of Logistics Management (without thesis),Izmir University of Economics,2 years,null,"[""English""]",Izmir,Turkey,"[""Campus""]",null,"[""Full-time""]",8500,USD
Administration-Studies,Official Master's Degree in Human Resources: Organization and Talent Management,IMF Smart Education,9&nbsp;-&nbsp;24 months,null,"[""Spanish""]",Madrid,Spain,"[""Online""]",null,"[""Part-time""]",7560,EUR
Administration-Studies,Master in International Human Resources Management,Ural Federal University,2 years,null,"[""English""]",Yekaterinburg,Russia,"[""Online & Campus Combined"",""Campus"",""Online""]","""24 Dec 2021""","[""Full-time""]",222900,RUB
Administration-Studies,MANAGEMENT OF PUBLIC ORGANIZATIONS AND SERVICES,"Universitatea \""Nicolae Titulescu\"" din Bucuresti",null,null,"[""Rumenian""]",Bucharest,Romania,"[""Campus""]",null,[],null,null
Administration-Studies,Master of Public Affairs,University of Wisconsin-Madison La Follette School of Public Affairs,null,null,"[""English""]",Madison,USA,"[""Campus""]",null,[],null,null
Administration-Studies,Master of Science in Human Resources Management,Northeastern University Global Pathways,null,null,"[""English""]",Boston,USA,"[""Campus""]",null,[],null,null
Administration-Studies,MPA in Public Management and Policy Studies,"University of Haifa, International School",1 year,null,"[""English""]",Haifa,Israel,"[""Campus""]",null,"[""Full-time""]",10690,USD
Administration-Studies,Master of Science in Knowledge and Technology Management,The Hong Kong Polytechnic University Department of Industrial and Systems Engineering,18&nbsp;-&nbsp;30 months,null,"[""English""]",Hong Kong,Hong Kong,"[""Campus"",""Online""]","""30 Apr 2022""","[""Full-time"",""Part-time""]",6200,HKD
Administration-Studies,MASTER IN DIRECTION AND MANAGEMENT OF HUMAN CAPITAL,Finis Terrae University,null,null,"[""Spanish (Chile)""]",Providencia,Chile,"[""Campus""]",null,[],null,null
Administration-Studies,MSc in Strategic HRM,ALBA Graduate Business School,18 months,null,"[""English""]",Athens,Greece,"[""Campus""]",null,"[""Full-time"",""Part-time""]",12500,EUR
Administration-Studies,MSc in Human Resource Management and Consulting,University of Bath School of Management,1 year,null,"[""English""]",Bath,United Kingdom,"[""Campus""]",null,"[""Full-time""]",13000,GBP
Administration-Studies,MSc in Human Resource Management,University of Groningen,1 year,null,"[""English""]",Groningen,Netherlands,"[""Campus""]","""01 May 2022""","[""Full-time""]",2168,EUR
Administration-Studies,Master of Archives and Records Administration,San Jose State University - School of Information,1&nbsp;-&nbsp;7 years,null,"[""English""]",San Jose,USA,"[""Online""]",null,[],19908,USD
Administration-Studies,Master of Public Administration - Online,South University,16 months,null,"[""English""]",Savannah,USA,"[""Online""]",null,"[""Full-time""]",null,null
Administration-Studies,Master in Urban Governance,Erasmus University Rotterdam - Erasmus School of Social and Behavioural Sciences,1 year,null,"[""English""]",Rotterdam,Netherlands,"[""Campus""]","""15 Jun 2022""","[""Full-time""]",null,null
Administration-Studies,Master of Human Resource Management,London Graduate School of Management,18 months,null,[],London,United Kingdom,"[""Campus""]",null,"[""Full-time""]",6000,GBP
Administration-Studies,Master in International Human Resources Project Management,IGR-IAE Rennes,1 year,null,"[""English""]",Rennes,France,"[""Campus""]",null,"[""Full-time""]",6990,EUR
Administration-Studies,MSc International Business with Human Resource Management,"Ulster University, London & Birmingham Campuses",1 year,null,"[""English""]",London,United Kingdom,"[""Campus""]",null,"[""Full-time""]",5150,GBP
Administration-Studies,Master - vocational teaching jobs,Campus Universitario Europeo,6 months,null,[],A Coruña,Spain,"[""Online""]",null,"[""Full-time"",""Part-time""]",1995,EUR
Administration-Studies,Master of Public Administration with a Concentration in Healthcare Management,University of Delaware Online,30 months,null,"[""English""]",Newark,USA,"[""Online""]",null,"[""Full-time""]",null,null
Administration-Studies,Master of Science in Human Resource Management,Emmanuel College,null,null,"[""English""]",Boston,USA,"[""Campus""]",null,[],null,null
Administration-Studies,European Human Resource Management Master,Ecole Sup\u00e9rieure Ouverte \u00e0 Distance,2 years,null,"[""French""]",France Online,France,"[""Online""]",null,"[""Full-time"",""Part-time""]",null,null
Administration-Studies,MASTER IN PUBLIC ADMINISTRATION,Dorados University (Universidad Dorados),null,null,"[""Spanish (Mexican)""]",Oaxtepec,Mexico,"[""Campus""]",null,[],null,null
Administration-Studies,MSc/PGDip International Human Resource Management,Abertay University,1&nbsp;-&nbsp;2 years,null,"[""English""]",Dundee,United Kingdom,"[""Campus""]",null,"[""Full-time"",""Part-time""]",null,null
Administration-Studies,Master's Degree in Training Processes,Universidade Santiago de Compostela,1&nbsp;-&nbsp;2 years,null,"[""Spanish"",""Gallegan""]",Santiago de Compostela,Spain,"[""Online & Campus Combined"",""Campus"",""Online""]",null,"[""Full-time"",""Part-time""]",854,EUR
Administration-Studies,MSc in Human Resource Management,GCU - Glasgow School for Business and Society,1&nbsp;-&nbsp;3 years,null,"[""English""]",Glasgow,United Kingdom,"[""Campus""]",null,"[""Full-time"",""Part-time""]",5500,GBP
Administration-Studies,MASTER OF TRAFFIC AND TRANSPORT,Pan-european University Apeiron (Panevropski Univerzitet Apeiron),null,null,"[""Serbian""]",Banja Luka,Bosnia and Herzegovina,"[""Campus""]",null,[],null,null
Administration-Studies,Master of Education in Administration,Sierra Nevada College,null,null,"[""English""]",Incline Village,USA,"[""Campus""]",null,[],null,null
Administration-Studies,Master of Science in Human Resource Management,Bridgewater College,null,null,[],Bridgewater,USA,"[""Campus""]",null,[],null,null
Administration-Studies,"MSc in Managing People, Knowledge and Change",Lund University,1 year,null,"[""English""]",Lund,Sweden,"[""Campus""]",null,"[""Full-time""]",null,null
Administration-Studies,Master of Science in Human Resource Development,Rochester Institute of Technology (RIT),2 years,null,"[""English""]",Rochester,USA,"[""Campus"",""Online""]",null,"[""Full-time""]",47522,USD
Administration-Studies,Master in Global Sourcing and Logistics,National University Costa Rica,null,null,"[""Spanish""]",Heredia,Costa Rica,"[""Campus""]",null,[],null,null
Administration-Studies,Master of Business Administration,The Pennsylvania State University Penn State Great Valley   School of Graduate Professional Studies,null,null,"[""English""]",Malvern,USA,"[""Campus""]",null,[],null,null
Administration-Studies,Master in Project and Operations Management,Southern New Hampshire University,10 weeks,null,"[""Spanish""]",Manchester,USA,"[""Online""]",null,"[""Full-time"",""Part-time""]",8130,USD
Administration-Studies,Master of Public Administration,Reinhardt University,null,null,"[""English""]",Waleska,USA,[],null,[],null,null
Administration-Studies,MSc Project Management,GISMA ULaw,1 year,null,"[""English""]",Berlin,Germany,"[""Campus""]",null,"[""Full-time""]",17000,EUR
Administration-Studies,Master in Logistics,Rostov State University of Economics,2 years,null,[],Rostov-on-Don,Russia,"[""Campus""]",null,"[""Full-time"",""Part-time""]",null,null
Administration-Studies,European Master in Human Resources Management,ENACO,2&nbsp;-&nbsp;3 years,null,"[""French""]",France Online,France,"[""Online""]",null,"[""Full-time"",""Part-time""]",3739,EUR
Administration-Studies,MSc Behavioral Psychology and Organizational Psychology,AIHE Academic Institute for Higher Education GmbH,1 year,null,"[""German""]",Lübeck,Germany,"[""Online""]","""15 Dec 2021""","[""Full-time"",""Part-time""]",11850,EUR
Administration-Studies,MASTER OF SCIENCE IN Criminal Justice Administration,Columbia Southern University College of Safety and Emergency Services,null,null,"[""English""]",Orange Beach,USA,"[""Online""]",null,[],null,null
Administration-Studies,MSc in Shipping Operations & Management,Cyprus International Institute of Management,15 months,null,"[""English""]",Aglantzia,Cyprus,"[""Online""]",null,"[""Full-time""]",8000,EUR
Administration-Studies,"MA in Sport Management, Administration",Campbellsville University Online,2 years,null,"[""English""]",Campbellsville,USA,"[""Online""]",null,"[""Full-time"",""Part-time""]",null,null
Administration-Studies,MSc in Human Resource Management,Wroclaw University of Science and Technology,4 semesters,null,"[""English""]",Wrocław,Poland,"[""Campus""]",null,"[""Full-time""]",2000,EUR
Administration-Studies,Master in Human Resources Management and Development,Porto Polytechnic Institute,null,null,"[""Portuguese (Portugal)""]",Porto,Portugal,"[""Campus""]",null,[],null,null
Administration-Studies,MSc in Human Resource Management,Dublin City University,1 year,null,"[""English""]",Dublin,Ireland,"[""Campus""]",null,"[""Full-time""]",7955,EUR
Administration-Studies,Master's Degree in Criminal Justice Administration,St. Thomas Aquinas College,null,null,[],Sparkill,USA,"[""Campus""]",null,[],null,null
Administration-Studies,Master of Public Administration - Criminal Justice,Anna Maria College Online,2 years,null,"[""English""]",Paxton,USA,"[""Online""]",null,"[""Part-time""]",null,null
Administration-Studies,Master of Public Administration,Georgia Southern University,2 years,http://cogs.georgiasouthern.edu/admission/all-graduate-programs/gradprogramsbycollege/public-administration-programs/mpa/,"[""English""]",Statesboro,USA,"[""Campus""]",null,"[""Full-time""]",9406,USD
Administration-Studies,MSc in Human Resource Management,Trinity College Dublin - Business School,12 months,null,"[""English""]",Dublin,Ireland,"[""Campus""]","""30 Jun 2022""","[""Full-time""]",15250,EUR
Administration-Studies,Master of Science in Research Administration,"Johns Hopkins University, Advanced Academic Programs",1&nbsp;-&nbsp;5 years,null,"[""English""]",Washington,USA,"[""Online""]",null,"[""Part-time""]",null,null
Administration-Studies,Master of Public Administration,Brandman University,null,null,"[""English""]",Irvine,USA,[],null,[],null,null
Administration-Studies,MSc in Management (Human Resource Management),Swansea University,1&nbsp;-&nbsp;2 years,null,"[""English""]",Swansea,United Kingdom,"[""Campus""]",null,"[""Full-time"",""Part-time""]",18500,GBP
Administration-Studies,Master of Arts in Educational Administration,Point Park University School of Education,0&nbsp;-&nbsp;2 years,null,"[""English""]",Pittsburgh,USA,"[""Online""]",null,"[""Full-time""]",null,null
Administration-Studies,Master of Logistics Management (Advanced),Australian Maritime College,null,null,"[""English""]",Newnham,Australia,"[""Campus""]",null,[],null,null
Administration-Studies,Government - Master of Arts,New Mexico State University College of Arts and Sciences,null,null,"[""English""]",Las Cruces,USA,[],null,[],null,null
Administration-Studies,MBA + M.A. in Responsible Management,Steinbeis University Berlin Institute Corporate Responsibility Management,2&nbsp;-&nbsp;3 years,null,"[""English""]",Berlin,Germany,"[""Online & Campus Combined"",""Campus"",""Online""]",null,"[""Part-time""]",null,null
Administration-Studies,MASTER IN PEOPLE MANAGEMENT AND ORGANIZATIONAL EFFECTIVENESS,Learn chile,null,null,"[""Spanish (Chile)""]",Providencia,Chile,"[""Campus""]",null,[],null,null
Administration-Studies,Master of Nonprofit Administration,Maranatha Baptist University,null,null,"[""English""]",Watertown,USA,"[""Campus""]",null,[],null,null
Administration-Studies,"Master of Production management, logistics, purchasing",University Of Evry Val D'Essonne - UEVE,12&nbsp;-&nbsp;24 months,null,"[""French""]",Courcouronnes,France,"[""Campus""]",null,"[""Full-time""]",null,null
Administration-Studies,MA in Human Resource Management (CIPD Level 7),Informa Connect,23 months,https://informaconnect.com/ma-in-human-resource-management/?vip_code=FKW12666EXLKEYSTONE,[],London,United Kingdom,"[""Online""]",null,"[""Part-time""]",null,null
Administration-Studies,Master of Public Administration,Albany State University,2&nbsp;-&nbsp;3 years,null,"[""English""]",Albany,USA,"[""Campus""]",null,"[""Full-time"",""Part-time""]",3149,USD
Administration-Studies,Master in Administration in International Organizations,University of Wroclaw,2 years,null,"[""English""]",Wrocław,Poland,"[""Campus""]",null,"[""Full-time""]",null,null
Administration-Studies,Master's Degree in Management and People Management,Universidad Internacional de Andaluc\u00eda UNIA,1 year,null,"[""Spanish""]",Huelva,Spain,"[""Online & Campus Combined"",""Campus"",""Online""]","""15 Jan 2022""","[""Full-time""]",830,EUR
Administration-Studies,MSc in Technology and Operations Management,University of Groningen,1 year,null,"[""English""]",Groningen,Netherlands,"[""Campus""]","""01 May 2022""","[""Full-time""]",2168,EUR
Administration-Studies,Specialization in Administrative Institutions of Public Finance,UNAM Universidad Nacional Autonoma de Mexico (National Autonomous University of Mexico),null,null,"[""Spanish (Mexican)""]",Mexico City,Mexico,"[""Campus""]",null,[],null,null
Administration-Studies,Master of Public Administration,Gori State Teaching University,0&nbsp;-&nbsp;2 years,null,[],Gori,Georgia,"[""Campus""]",null,"[""Full-time""]",null,null
Administration-Studies,MA in Human Resource Counselling,E\u00f6tv\u00f6s Lor\u00e1nd University,2 years,null,"[""English""]",Budapest,Hungary,"[""Campus""]","""15 Jul 2022""","[""Full-time""]",1900,EUR
Administration-Studies,Executive Master of Public Administration,Hertie School,1&nbsp;-&nbsp;2 years,null,"[""English""]",Berlin,Germany,"[""Campus""]","""01 Aug 2022""","[""Full-time"",""Part-time""]",34500,EUR
Administration-Studies,Master of Human Resource Management,University of Wollongong Faculty of Business,1 year,null,"[""English""]",North Wollongong,Australia,"[""Campus""]",null,"[""Full-time"",""Part-time""]",47088,AUD
Administration-Studies,Master of Human Resource Management,Sunway University,2 years,null,"[""English""]",Shah Alam,Malaysia,"[""Campus""]",null,"[""Full-time""]",25230,MYR
Administration-Studies,Master of Arts Leadership and Public Service,Lipscomb University,null,null,"[""English""]",Nashville,USA,[],null,[],null,null
Administration-Studies,Master in State and Municipal Administration,People's Friendship University Of Russia,0&nbsp;-&nbsp;2 years,null,"[""Russian""]",Moscow,Russia,"[""Campus""]",null,"[""Full-time""]",null,null
Administration-Studies,Master's Degree in Management and Human Resources Management,Universidad Europea,9 months,null,"[""Spanish""]",Alcobendas,Spain,"[""Campus""]",null,"[""Full-time""]",null,null
Administration-Studies,Master in Adult Education and Human Resource Development,James Madison University,2 years,null,"[""English""]",Harrisonburg,USA,"[""Online & Campus Combined"",""Campus"",""Online""]",null,"[""Full-time"",""Part-time""]",44316,USD
Administration-Studies,MSc in International Human Resource Management,University of Stirling,12 months,null,"[""English""]",Stirling,United Kingdom,"[""Campus""]",null,"[""Full-time""]",7900,GBP
Administration-Studies,"Trade Business, Commercial Logistics, Master's Degree",Siberian University Of Consumer Cooperation (Novosibirsk Institute Of Soviet Cooperative Trade),24&nbsp;-&nbsp;27 months,null,"[""Russian""]",Novosibirsk,Russia,"[""Campus""]",null,"[""Full-time"",""Part-time""]",null,null
Administration-Studies,Master of Science in International Logistics / Procurement / Supply Chain Management,Fontys University of Applied Sciences,12 months,null,"[""English""]",Venlo,Netherlands,"[""Campus""]","""01 Jun 2022""","[""Full-time""]",16000,EUR
Administration-Studies,MSc & PhD in Administration,Brazilian School of Public and Business Administration,21&nbsp;-&nbsp;48 months,null,"[""English""]",Rio de Janeiro,Brazil,"[""Campus""]","""15 Dec 2021""","[""Full-time""]",150,BRL
Administration-Studies,Post-Graduation in Management,Universidade Europeia,9 months,null,"[""Portuguese (Portugal)""]",Lisbon,Portugal,"[""Campus""]",null,"[""Part-time""]",null,null
Administration-Studies,Master of Public Administration - Emergency Management,Anna Maria College Online,2 years,null,"[""English""]",Paxton,USA,"[""Online""]",null,"[""Part-time""]",null,null
Administration-Studies,Master of Science in Human Resource Management,University of Texas Arlington,36 hours,null,"[""English""]",Arlington,USA,"[""Campus""]",null,"[""Full-time""]",10828,USD
Administration-Studies,M.A. in Professional Development,Amberton University,null,null,[],Garland,USA,"[""Campus""]",null,"[""Full-time""]",6750,USD
Administration-Studies,Master of Human Resource Management,Mind Development Academy,1&nbsp;-&nbsp;4 years,null,"[""English""]",Cape Town,South Africa,"[""Online""]",null,"[""Full-time"",""Part-time""]",7000,USD
Administration-Studies,Master of Science in Human Resource Development (HRD) Programme by Coursework,Universiti Malaysia Sarawak,2 years,null,[],Kuching,Malaysia,"[""Campus""]",null,"[""Full-time""]",21000,
Administration-Studies,"Master in Coaching, Emotional Management and Mindfulness",ENEB,18 months,null,"[""Spanish""]",Barcelona,Spain,"[""Online""]",null,"[""Full-time""]",7200,EUR
Administration-Studies,Master in Nonprofit Leadership and Management,Arizona State University,4 semesters,null,"[""English""]",Central City,USA,"[""Campus"",""Online""]",null,"[""Full-time"",""Part-time""]",1400,USD
