country,Purchasing Power Index,Purchasing Power Index Category,Safety Index,Safety Index Category,Health Care Index,Health Care Index Category,Climate Index,Climate Index Category,Cost of Living Index,Cost of Living Index Category,Property Price to Income Ratio,Property Price to Income Ratio Category,Traffic Commute Time Index,Traffic Commute Time Index Category,Pollution Index,Pollution Index Category,Quality of Life Index,Quality of Life Index Category
Afghanistan,22.41,Very Low,22.71,Low,26.98,Low,?,,22.17,Very Low,14.03,High,56.17,Very High,86.83,Very High,?,
Aland Islands,99.96,High,77.81,High,87.27,Very High,?,,73.13,High,4.36,Very Low,19.05,Very Low,15.00,Very Low,?,
Albania,24.62,Very Low,54.30,Moderate,50.54,Moderate,86.43,Very High,35.81,Very Low,17.11,Very High,38.21,Moderate,78.78,High,93.71,Very Low
Alderney,?,,91.67,Very High,100.00,Very High,?,,?,,?,,?,,3.45,Very Low,?,
Algeria,24.80,Very Low,45.92,Moderate,52.74,Moderate,94.82,Very High,26.85,Very Low,17.71,Very High,48.89,High,65.00,High,97.42,Very Low
American Samoa,?,,83.82,Very High,?,,?,,?,,?,,100.00,Very High,78.45,High,?,
Andorra,83.90,Moderate,87.05,Very High,75.56,High,?,,61.25,Moderate,8.55,Moderate,7.50,Very Low,30.09,Low,?,
Angola,24.31,Very Low,33.61,Low,36.58,Low,?,,64.05,Moderate,16.60,Very High,56.33,Very High,97.55,Very High,?,
Anguilla,?,,73.53,High,38.89,Low,?,,?,,?,,?,,?,,?,
Antigua And Barbuda,?,,53.68,Moderate,30.56,Low,?,,?,,20.70,Very High,35.00,Moderate,43.10,Moderate,?,
Argentina,31.23,Very Low,35.86,Low,69.36,High,98.28,Very High,34.86,Very Low,26.07,Very High,43.06,High,51.11,Moderate,105.77,Low
Armenia,29.25,Very Low,77.78,High,54.96,Moderate,63.42,High,33.09,Very Low,17.16,Very High,32.19,Low,60.22,High,117.01,Low
Aruba,45.70,Low,70.69,High,70.83,High,?,,83.54,High,240.18,,46.33,High,40.00,Moderate,?,
Australia,105.79,High,56.20,Moderate,78.22,High,92.70,Very High,76.17,High,7.01,Low,34.83,Low,23.89,Low,184.64,Very High
Austria,75.72,Moderate,73.85,High,76.69,High,77.15,High,70.96,Moderate,10.84,Moderate,25.58,Very Low,21.18,Low,178.75,Very High
Azerbaijan,27.38,Very Low,67.61,High,44.56,Moderate,91.40,Very High,29.61,Very Low,17.50,Very High,39.61,Moderate,74.48,High,103.12,Low
Bahamas,48.14,Low,37.60,Low,40.06,Moderate,85.98,Very High,82.58,High,3.26,Very Low,25.83,Very Low,62.80,High,116.44,Low
Bahrain,60.64,Moderate,75.34,High,66.45,High,64.31,High,54.89,Low,6.67,Low,30.43,Low,70.69,High,135.44,Moderate
Bangladesh,25.10,Very Low,35.69,Low,42.15,Moderate,71.29,High,32.84,Very Low,14.02,High,56.45,Very High,84.80,Very High,66.44,Very Low
Barbados,34.16,Very Low,52.68,Moderate,69.95,High,?,,94.64,Very High,11.91,Moderate,36.67,Moderate,24.88,Low,?,
Belarus,28.90,Very Low,41.12,Moderate,45.21,Moderate,64.37,High,30.98,Very Low,18.40,Very High,30.15,Low,44.92,Moderate,105.14,Low
Belgium,79.23,Moderate,54.75,Moderate,75.27,High,86.03,Very High,72.19,High,7.07,Low,36.81,Moderate,50.12,Moderate,151.75,High
Belize,45.66,Low,48.49,Moderate,45.54,Moderate,?,,51.35,Low,10.06,Moderate,20.50,Very Low,55.11,Moderate,?,
Benin,?,,62.71,High,44.44,Moderate,?,,?,,?,,26.00,Very Low,97.41,Very High,?,
Bermuda,77.81,Moderate,63.62,High,72.73,High,91.82,Very High,145.95,Very High,7.03,Low,36.33,Moderate,12.00,Very Low,174.85,Very High
Bhutan,19.71,Very Low,67.30,High,62.64,High,?,,42.71,Low,45.13,Very High,0.00,Very Low,54.35,Moderate,?,
Bolivia,34.75,Very Low,41.12,Moderate,49.42,Moderate,68.52,High,34.78,Very Low,10.13,Moderate,41.07,High,74.64,High,93.17,Very Low
Bonaire,?,,62.95,High,?,,?,,?,,6.95,Low,?,,?,,?,
Bosnia And Herzegovina,43.64,Low,58.11,Moderate,54.13,Moderate,80.48,Very High,35.45,Very Low,10.91,Moderate,25.67,Very Low,60.92,High,127.08,Moderate
Botswana,62.06,Moderate,47.02,Moderate,60.15,High,88.87,Very High,39.54,Very Low,51.36,Very High,28.53,Low,46.09,Moderate,101.71,Low
Brazil,28.17,Very Low,32.85,Low,57.82,Moderate,97.15,Very High,31.95,Very Low,16.09,Very High,41.27,High,53.93,Moderate,107.34,Low
British Virgin Islands,?,,64.15,High,?,,?,,?,,7.05,Low,?,,68.10,High,?,
Brunei,87.16,High,71.00,High,77.00,High,?,,47.04,Low,3.21,Very Low,27.79,Low,34.13,Low,?,
Bulgaria,45.55,Low,61.27,High,56.39,Moderate,82.76,Very High,37.64,Very Low,7.64,Low,29.37,Low,64.23,High,130.08,Moderate
Burkina Faso,9.97,Very Low,48.46,Moderate,49.31,Moderate,?,,45.59,Low,11.05,Moderate,50.00,High,?,,?,
Burundi,?,,56.76,Moderate,63.89,High,?,,?,,171.46,Very High,?,,80.32,Very High,?,
Cambodia,10.85,Very Low,49.26,Moderate,49.43,Moderate,59.43,Moderate,48.32,Low,41.01,Very High,27.73,Low,78.31,High,56.64,Very Low
Cameroon,15.49,Very Low,34.70,Low,41.10,Moderate,?,,38.97,Very Low,15.73,High,35.00,Moderate,93.08,Very High,?,
Canada,90.63,High,57.26,Moderate,71.43,High,55.98,Moderate,68.29,Moderate,7.23,Low,33.67,Low,28.80,Low,162.03,Very High
Cape Verde,?,,49.71,Moderate,82.41,Very High,?,,?,,10.27,Moderate,?,,?,,?,
Cayman Islands,82.17,Moderate,66.70,High,65.67,High,?,,117.04,Very High,25.14,Very High,10.20,Very Low,24.89,Low,?,
Central African Republic,?,,16.24,Very Low,1.39,Very Low,?,,?,,?,,?,,113.79,Very High,?,
Chad,?,,35.59,Low,44.21,Moderate,?,,?,,2.00,Very Low,6.00,Very Low,45.40,Moderate,?,
Chile,32.88,Very Low,46.34,Moderate,64.14,High,90.21,Very High,43.54,Low,17.11,Very High,35.97,Moderate,78.59,High,100.20,Low
China,59.73,Low,70.55,High,66.48,High,78.73,High,41.26,Low,28.96,Very High,39.99,Moderate,80.61,Very High,105.18,Low
Colombia,29.20,Very Low,42.35,Moderate,67.03,High,88.30,Very High,26.47,Very Low,16.67,Very High,47.66,High,62.98,High,103.97,Low
Comoros,?,,52.94,Moderate,?,,?,,?,,?,,?,,?,,?,
Congo,16.66,Very Low,32.92,Low,46.53,Moderate,?,,101.43,Very High,36.68,Very High,75.00,Very High,96.55,Very High,?,
Cook Islands,?,,75.74,High,?,,?,,?,,?,,?,,8.62,Very Low,?,
Costa Rica,39.61,Very Low,45.96,Moderate,62.18,High,99.48,Very High,47.19,Low,10.47,Moderate,60.19,Very High,44.66,Moderate,121.80,Moderate
Croatia,41.52,Low,75.70,High,63.98,High,89.89,Very High,53.64,Low,14.35,High,25.21,Very Low,31.11,Low,156.95,High
Cuba,1.66,Very Low,69.72,High,57.22,Moderate,89.86,Very High,55.40,Low,36.12,Very High,33.33,Low,66.42,High,85.77,Very Low
Curacao,30.87,Very Low,44.35,Moderate,50.35,Moderate,?,,77.17,High,11.08,Moderate,17.50,Very Low,61.11,High,?,
Cyprus,56.84,Low,68.20,High,52.59,Moderate,93.34,Very High,57.73,Low,6.40,Low,23.05,Very Low,56.24,Moderate,147.80,High
Czech Republic,64.78,Moderate,74.42,High,75.49,High,77.13,High,46.14,Low,13.81,High,29.40,Low,35.89,Low,161.97,Very High
Denmark,99.31,High,73.42,High,79.88,High,81.80,Very High,83.55,High,6.89,Low,28.65,Low,21.26,Low,191.91,Very High
Djibouti,17.50,Very Low,35.60,Low,?,,?,,77.48,High,12.70,High,38.25,Moderate,64.60,High,?,
Dominica,17.87,Very Low,47.07,Moderate,36.57,Low,?,,66.45,Moderate,0.97,Very Low,?,,?,,?,
