name,image_url
Kent State University - College of Aeronautics and Engineering,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/97/97584_thumb.png"
Manderson Graduate School of Business The University of Alabama,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/91/91033_thumb.jpg"
University of Argentinian Social Studies,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/155105_UMSA.jpeg"
EM Normandie Business School,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/97/97587_thumb.jpg"
Izmir University of Economics,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/94/94722_thumb.png"
IMF Smart Education,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/16/162995_162888_AAFFIMFLOGOTAGLINERGB_IMGLOGOTAGLINE200C-VERTICAL.png"
Ural Federal University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/12/128290_UrFU_logo.png"
"Universitatea ""Nicolae Titulescu"" din Bucuresti","https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/157000_1519921290071.png"
University of Wisconsin-Madison La Follette School of Public Affairs,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/151436_703.png"
Northeastern University Global Pathways,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/151819_Northeastern.png"
"University of Haifa, International School","https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/11/118403_logo.png"
The Hong Kong Polytechnic University Department of Industrial and Systems Engineering,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/10/109289_main-11195.png"
Finis Terrae University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/150740_Finis.png"
ALBA Graduate Business School,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/11/118415_ALBALOGO_new_final.jpg"
University of Bath School of Management,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/96/96720_thumb.png"
University of Groningen,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/90/90696_thumb.jpg"
San Jose State University - School of Information,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/11/111412_SJSUUniversitymonogram_Web_Blue.png"
South University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/13/136997_South_Estab1899_CMYK.jpg"
Erasmus University Rotterdam - Erasmus School of Social and Behavioural Sciences,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/95/95342_thumb.jpg"
London Graduate School of Management,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/91/91013_thumb.jpg"
IGR-IAE Rennes,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/12/120726_120695_Logo-IGR-IAE-Rennes-couleurINTRVB.jpg"
"Ulster University, London & Birmingham Campuses","https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/13/139387_UU_LONDON_BHAM_CORE_BLUE_JPEG-HR.jpg"
Campus Universitario Europeo,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/91/91353_thumb.jpg"
University of Delaware Online,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/96/96942_thumb.png"
Emmanuel College,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/16/162008_OIP18.jpg"
Ecole Supérieure Ouverte à Distance,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/92/92506_thumb.png"
Dorados University (Universidad Dorados),"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/153264_Dorados.png"
Abertay University,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/90/90573_thumb.jpg"
Universidade Santiago de Compostela,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/152601_74701678_2450028808367596_8712745453797507072_n.jpg"
GCU - Glasgow School for Business and Society,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/96/96194_thumb.jpg"
Pan-european University Apeiron (Panevropski Univerzitet Apeiron),"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/16/165063_paneuropeanlogo.jpeg"
Sierra Nevada College,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/148648_403_sierra_nevada_college.png"
Bridgewater College,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/145559_download63.png"
