university_name,program_name,country_name,country_code,city
Australian National University,Accounting,Australia,AUS,Canberra
Australian National University,Actuarial Practice,Australia,AUS,Canberra
Australian National University,Actuarial Studies,Australia,AUS,Canberra
Australian National University,Advanced Biological Sciences,Australia,AUS,Canberra
Australian National University,Anthropology,Australia,AUS,Canberra
Australian National University,Anthropology (Advanced),Australia,AUS,Canberra
Australian National University,Applied Anthropology and Participatory Development,Australia,AUS,Canberra
Australian National University,Applied Anthropology and Participatory Development (Advanced),Australia,AUS,Canberra
Australian National University,Applied Anthropology and Participatory Development (Advanced) - Online,Australia,AUS,Canberra
Australian National University,Applied Anthropology and Participatory Development - Online,Australia,AUS,Canberra
Australian National University,Applied Economics,Australia,AUS,Canberra
Australian National University,Applied Finance,Australia,AUS,Canberra
Australian National University,Archaeological Science,Australia,AUS,Canberra
Australian National University,Archaeological Science (Advanced),Australia,AUS,Canberra
Australian National University,Art History and Curatorial Studies,Australia,AUS,Canberra
Australian National University,Art History and Curatorial Studies (Advanced),Australia,AUS,Canberra
Australian National University,Astronomy and Astrophysics (Advanced),Australia,AUS,Canberra
Australian National University,Biological Anthropology,Australia,AUS,Canberra
Australian National University,Biological Anthropology (Advanced),Australia,AUS,Canberra
Australian National University,Biological Sciences,Australia,AUS,Canberra
Australian National University,Biotechnology,Australia,AUS,Canberra
Australian National University,Biotechnology (Advanced),Australia,AUS,Canberra
Australian National University,Business,Australia,AUS,Canberra
Australian National University,Business Administration,Australia,AUS,Canberra
Australian National University,Business Information Systems,Australia,AUS,Canberra
Australian National University,Classical Studies,Australia,AUS,Canberra
Australian National University,Classical Studies (Advanced),Australia,AUS,Canberra
Australian National University,Climate Change,Australia,AUS,Canberra
Australian National University,Clinical Psychology,Australia,AUS,Canberra
Australian National University,Commerce,Australia,AUS,Canberra
Australian National University,Communication Outreach,Australia,AUS,Canberra
Australian National University,Computing,Australia,AUS,Canberra
Australian National University,Culture,Australia,AUS,Canberra
Australian National University,Culture Health and Medicine (Advanced),Australia,AUS,Canberra
Australian National University,Digital Arts,Australia,AUS,Canberra
Australian National University,Digital Arts (Advanced),Australia,AUS,Canberra
Australian National University,Diplomacy,Australia,AUS,Canberra
Australian National University,Earth Sciences (Advanced),Australia,AUS,Canberra
