university_name,program_name,duration,language,program_url
Australian National University,Accounting,24 months,English,http://www.mastersportal.eu/studies/93317/accounting.html
Australian National University,Actuarial Practice,30 months,English,http://www.mastersportal.eu/studies/93328/actuarial-practice.html
Australian National University,Actuarial Studies,24 months,English,http://www.mastersportal.eu/studies/93332/actuarial-studies.html
Australian National University,Advanced Biological Sciences,24 months,English,http://www.mastersportal.eu/studies/93634/biological-sciences.html
Australian National University,Anthropology,24 months,English,http://www.mastersportal.eu/studies/93338/anthropology.html
Australian National University,Anthropology (Advanced),24 months,English,http://www.mastersportal.eu/studies/93340/anthropology.html
Australian National University,Applied Anthropology and Participatory Development,24 months,English,http://www.mastersportal.eu/studies/93341/applied-anthropology-and-participatory-development.html
Australian National University,Applied Anthropology and Participatory Development (Advanced),24 months,English,http://www.mastersportal.eu/studies/93347/applied-anthropology-and-participatory-development.html
Australian National University,Applied Anthropology and Participatory Development (Advanced) - Online,24 months,English,http://www.mastersportal.eu/studies/93358/applied-anthropology-and-participatory-development-online.html
Australian National University,Applied Anthropology and Participatory Development - Online,24 months,English,http://www.mastersportal.eu/studies/93354/applied-anthropology-and-participatory-development-online.html
Australian National University,Applied Economics,24 months,English,http://www.mastersportal.eu/studies/93751/applied-economics.html
Australian National University,Applied Finance,18 months,English,http://www.mastersportal.eu/studies/94133/applied-finance.html
Australian National University,Archaeological Science,24 months,English,http://www.mastersportal.eu/studies/93573/archaeological-science.html
Australian National University,Archaeological Science (Advanced),24 months,English,http://www.mastersportal.eu/studies/93595/archaeological-science.html
Australian National University,Art History and Curatorial Studies,24 months,English,http://www.mastersportal.eu/studies/93598/art-history-and-curatorial-studies.html
Australian National University,Art History and Curatorial Studies (Advanced),24 months,English,http://www.mastersportal.eu/studies/93606/art-history-and-curatorial-studies.html
Australian National University,Astronomy and Astrophysics (Advanced),24 months,English,http://www.mastersportal.eu/studies/93627/astronomy-and-astrophysics.html
Australian National University,Biological Anthropology,24 months,English,http://www.mastersportal.eu/studies/93374/biological-anthropology.html
Australian National University,Biological Anthropology (Advanced),24 months,English,http://www.mastersportal.eu/studies/93507/biological-anthropology.html
Australian National University,Biological Sciences,24 months,English,http://www.mastersportal.eu/studies/93632/biological-sciences.html
Australian National University,Biotechnology,24 months,English,http://www.mastersportal.eu/studies/93640/biotechnology.html
Australian National University,Biotechnology (Advanced),24 months,English,http://www.mastersportal.eu/studies/93646/biotechnology.html
Australian National University,Business,12 months,English,http://www.mastersportal.eu/studies/60815/business.html
Australian National University,Business Administration,18 months,English,http://www.mastersportal.eu/studies/93656/business-administration.html
Australian National University,Business Information Systems,24 months,English,http://www.mastersportal.eu/studies/93653/business-information-systems.html
Australian National University,Classical Studies,24 months,English,http://www.mastersportal.eu/studies/93676/classical-studies.html
Australian National University,Classical Studies (Advanced),24 months,English,http://www.mastersportal.eu/studies/93679/classical-studies.html
Australian National University,Climate Change,24 months,English,http://www.mastersportal.eu/studies/93862/climate-change.html
Australian National University,Clinical Psychology,24 months,English,http://www.mastersportal.eu/studies/94360/clinical-psychology.html
Australian National University,Commerce,24 months,English,http://www.mastersportal.eu/studies/60817/commerce.html
